Film;ClasseBotteghino;WikiPageQuality;BestWikiRankLocale;BestWikiRankGlobale;Anno;LikesProtagonista;Durata;Morti;Rating;Votanti;LikesFilm;LikesRegista;Budget;IncassoDomestico;LunghezzaTrama;NumeroAttori;SRR; IncassoMondiale 
Titanic;Superiore a 160 Milioni;97.9829;18;15;1997;16746759;85;307;62;1289;53303876;67425;200000000;659363900;674;5;4.303;2208208400
The Dark Knight;Superiore a 160 Milioni;97.3417;3;6;2008;329131;152;36;90;2128547;18576986;356882;185000000;533345400;694;9;3.602;1001620600
Independence Day;Superiore a 160 Milioni;49.9371;9820;9999;1996;77055972;87;48;65;99;1603712;244532;75000000;306169300;108;3;2.778;817400900
Transformers;Superiore a 160 Milioni;97.93;37;73;2007;662;144;103;70;575681;32122274;191761;151000000;319246200;638;4;1.097;708272600
The Incredibles;Superiore a 160 Milioni;97.7264;105;185;2004;737;115;16;80;617288;7380542;3476;92000000;261441100;684;7;3.07;614726800
War of the Worlds;Superiore a 160 Milioni;93.3064;7439;9567;2005;11719869;116;52;65;394217;516591;121711;132000000;234280400;660;3;1.818;606836500
Casino Royale;Superiore a 160 Milioni;94.6166;101;225;2006;77308;131;54;52;25470;1240559;2498;102000000;167365000;748;7;2.005;594420300
I Am Legend;Superiore a 160 Milioni;95.8569;45;84;2007;77055972;101;71;72;645552;7461467;0;150000000;256393000;854;1;2.576;585532700
Iron Man;Superiore a 160 Milioni;91.8131;12;34;2008;29346388;73;57;61;181;18663083;407451;186000000;318604100;90;3;6.667;585171500
The Day After Tomorrow;Superiore a 160 Milioni;52.4211;2550;3176;2004;2123888;124;130;64;393481;1047832;244532;125000000;186740800;505;5;2.178;556319500
Armageddon;Superiore a 160 Milioni;56.7832;4592;3765;1998;102947;151;16;67;376915;17;191761;140000000;201578200;657;8;1.674;554600000
King Kong;Superiore a 160 Milioni;96.3536;1309;1748;2005;41205;100;23;79;74912;3568714;2084663;207000000;218080000;566;3;2.12;550517400
Terminator 2: Judgment Day;Superiore a 160 Milioni;94.9473;788;548;1991;780;137;23;85;931314;3553878;67425;100000000;203464100;676;4;1.923;515419800
Saving Private Ryan;Superiore a 160 Milioni;90.1727;1050;1868;1998;7202430;169;255;86;1141182;2699198;121711;65000000;216335100;849;10;2.945;485035100
Troy;Superiore a 160 Milioni;46.3196;2637;3034;2004;85185;163;572;72;460843;5565602;0;150000000;133298600;697;10;0.717;484161300
Indiana Jones and the Last Crusade;Superiore a 160 Milioni;97.7858;222;558;1989;28410;127;48;82;647692;4149004;121711;48000000;197171800;892;7;1.009;474171800
The Matrix;Superiore a 160 Milioni;94.4583;12;34;1999;304957;136;39;87;1550779;6752704;3534;65000000;171479900;652;5;4.141;463517400
Mission: Impossible;Superiore a 160 Milioni;61.1632;894;513;1996;11719869;110;9;71;365366;3525961;15023;80000000;180981900;601;7;0.832;457698000
The Last Samurai;Superiore a 160 Milioni;52.6574;3802;5825;2003;11719869;90;558;48;212;1749681;0;140000000;111110600;719;4;1.391;456810600
300;Superiore a 160 Milioni;93.5746;88;105;2007;4763060;117;600;77;701963;10189786;0;60000000;210614900;702;3;1.567;454161900
Pearl Harbor;Superiore a 160 Milioni;68.2788;4888;4785;2001;1459683;183;153;62;297132;1967;191761;151500000;198539900;808;7;2.475;449239900
The Bourne Ultimatum;Superiore a 160 Milioni;71.3759;1085;1708;2007;68370;115;5;80;584669;23537;661;130000000;227471100;734;5;0.954;442161600
The Mummy Returns;Superiore a 160 Milioni;37.2468;1219;1561;2001;57678958;130;137;63;287804;4107596;208;98000000;202007600;685;5;1.168;435040400
Terminator 3: Rise of the Machines;Superiore a 160 Milioni;86.1538;707;490;2003;648;109;14;63;357533;401207;0;170000000;150358300;755;4;1.192;433058300
The Chronicles of Narnia: Prince Caspian;Superiore a 160 Milioni;96.9231;110;340;2008;43375159;150;170;65;182689;4961923;0;225000000;141621500;594;4;1.852;417341300
Batman;Superiore a 160 Milioni;100;177;472;1989;644;260;56;64;1712;2929160;5064205;35000000;251188900;335;4;2.985;411348900
Signs;Superiore a 160 Milioni;46.134;4780;8524;2002;710;106;3;67;322079;0;8807;70702600;227969300;746;4;0.67;408269300
Mission: Impossible III;Superiore a 160 Milioni;66.2635;891;1339;2006;6181;126;23;69;312029;3525972;14000;150000000;133501300;578;5;1.038;397501300
Slumdog Millionaire;Superiore a 160 Milioni;82.5326;12;59;2008;668;120;8;80;758440;2469408;58199;14000000;141330700;834;3;3.118;384530400
Superman Returns;Superiore a 160 Milioni;88.9089;756;1343;2006;2950098;154;10;60;262959;1151058;789;232000000;200120000;826;6;3.995;374085100
