Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
10 Cloverfield Lane;2016;5000000;72083000;103;72;268014;585;2;3.077;108286400
10 Things I Hate About You;1999;13000000;38178000;97;73;275715;688;7;2.18;60414000
102 Dalmatians;2000;85000000;66941600;100;49;32559;451;3;0.887;66941600
12 Angry Men;1957;340000;0;96;89;615792;1004;2;1.892;0
12 Rounds;2009;20000000;12234700;108;56;26220;693;6;1.299;17306600
12 Years a Slave;2013;20000000;56672000;134;81;590724;677;9;1.92;181025300
127 Hours;2010;18000000;18335200;94;76;329664;312;5;2.244;60217200
13 Going On 30;2004;37000000;57139700;98;61;153514;821;2;2.558;97658700
1408;2007;22500000;71985600;104;68;245059;817;2;1.346;131263400
15 Minutes;2001;42000000;24375400;120;61;46849;779;3;1.797;56331900
16 Blocks;2006;45000000;36895100;102;66;122713;723;2;1.66;65595100
17 Again;2009;40000000;64167100;102;63;170007;614;7;5.375;139474900
1941;1979;32000000;34175000;118;58;29678;792;12;1.894;94875000
2 Fast 2 Furious;2003;76000000;127120100;107;59;236719;760;6;3.684;236410600
2 Guns;2013;61000000;75612500;109;67;184847;746;7;1.475;132493000
20,000 Leagues Under the Sea;1954;5000000;28200000;105;62;1438;338;4;1.479;28200000
200 Cigarettes;1999;6000000;6852500;101;60;14192;314;13;6.051;6852500
2001: A Space Odyssey;1968;10500000;56700000;149;83;556857;690;3;3.768;68700000
2012;2009;200000000;166112200;158;58;333877;787;7;2.541;788408500
2046;2005;12000000;1442300;129;74;47679;2256;4;5.408;19287500
21;2008;35000000;81159400;105;72;49;683;4;1.903;159846400
21 Grams;2003;20000000;16248700;124;77;215233;712;3;1.405;59667600
21 Jump Street;2012;42000000;138447700;109;72;485704;688;8;2.471;202812400
25th Hour;2002;4500000;13084600;135;76;164009;754;6;0.928;25344500
27 Dresses;2008;30000000;76808700;111;61;146936;777;5;3.604;160247800
28 Days;2000;43000000;37035500;103;60;41561;898;2;2.339;62064000
28 Weeks Later;2007;15000000;28638900;100;70;245442;734;4;1.771;64232700
3;2011;7200000;59800;65;52;5;1015;1;2.562;295500
3 Days to Kill;2014;28000000;30698000;117;62;82914;660;2;3.182;38959900
3 Ninjas Kick Back;1994;20000000;11745000;93;45;7980;722;5;1.385;11745000
3 Strikes;2000;4000000;9821300;82;47;2834;874;2;2.86;9821300
3:10 to Yuma;2007;48000000;53606900;92;76;17003;805;4;2.609;71171800
30 Days of Night;2007;30000000;39569000;113;66;157824;579;3;1.727;80276200
30 Minutes or Less;2011;28000000;37053900;83;61;88936;845;6;2.012;40966700
300;2007;60000000;210614900;117;77;701963;702;3;1.567;454161900
300: Rise of an Empire;2014;110000000;106580100;102;62;267586;831;2;1.564;330780100
3000 Miles to Graceland;2001;62000000;15738600;125;60;42187;719;7;1.53;18708800
40 Days and 40 Nights;2002;17000000;37939800;96;56;68058;381;3;5.512;95092700
42;2013;40000000;95020200;128;75;79081;404;14;2.97;97470700
42nd Street;1933;439000;1438000;89;74;9891;507;3;3.55;2281000
47 Ronin;2013;175000000;38362500;132;65;413;859;8;1.281;151716800
50 First Dates;2004;75000000;120776800;99;68;309014;866;2;3.464;196320300
50 to 1;2014;10000000;1069500;110;64;1790;78;2;2.564;1069500
50/50;2011;8000000;35016100;51;90;10;584;5;3.425;41334700
51 Birch Street;2006;350000;84700;90;73;781;223;3;4.036;84700
54;1998;13000000;16757200;93;59;30479;51;4;5.882;16757200
55 Days at Peking;1963;17000000;10000000;154;67;5574;458;3;1.747;10000000
8 Heads in a Duffel Bag;1997;3000000;3602900;95;54;9132;544;6;2.206;4002900
8 Mile;2002;41000000;116724100;110;71;233327;541;6;3.512;245768400
8 Million Ways to Die;1986;18000000;1305100;115;58;4149;619;3;1.777;1305100
88 Minutes;2008;30000000;16930900;108;59;72182;680;8;1.471;32955400
8MM;1999;40000000;36443400;123;65;117503;535;6;1.869;96398800
9;2009;30000000;31749900;90;48;13;749;6;3.071;48560000
A Bad Moms Christmas;2017;28000000;72110700;104;55;34666;774;9;3.23;127710700
A Beautiful Mind;2001;78000000;170709000;135;82;788333;702;3;1.709;317668100
A Better Life;2011;10000000;1759300;98;72;14725;251;2;1.594;1884300
A Bridge Too Far;1977;26000000;50800000;175;74;48223;692;12;2.89;50800000
A Bug's Life;1998;45000000;162798600;95;72;251505;588;4;1.02;363095300
A Christmas Story;1983;3250000;20605200;94;80;122756;246;3;2.033;20605200
A Cinderella Story;2004;19000000;51438200;95;59;76326;1217;3;1.972;70164100
A Civil Action;1998;60000000;56710000;115;66;26173;574;9;3.31;56710000
