Film;Nomenee
Zulu;-1
War;-1
Death to Smoochy;-1
The Omen;1
Lone Wolf McQuade;-1
Olympus Has Fallen;-1
The Signal;-1
RoboCop;1
Transformers;1
The Incredible Hulk;-1
Minority Report;1
The Shawshank Redemption;1
Batman;1
Alien;1
Assault On Precinct 13;-1
Walking Tall;-1
Collateral Damage;-1
Death Sentence;-1
The Jackal;-1
Broken Arrow;1
Appaloosa;-1
The Adventures of Ford Fairlane;-1
The Fog;-1
Crank;-1
Underworld;-1
Signs;-1
Doom;-1
Red Dawn;-1
Hamlet;1
Austin Powers in Goldmember;-1
Mortal Kombat;-1
The Last House on the Left;-1
Star Trek: Nemesis;-1
Mad Max;-1
Donnie Darko;-1
The Bourne Identity;-1
Diamonds are Forever;1
Punisher: War Zone;-1
District 9;1
Team America: World Police;-1
Apocalypto;1
Apocalypse Now;1
Die Hard;1
To Die For;-1
Batman Begins;1
Super Mario Bros.;-1
The Musketeer;-1
Silent Trigger;-1
You Kill Me;-1
Dark Blue;-1
Things to Do in Denver When You're Dead;-1
The Yards;-1
Strange Wilderness;-1
Tears of the Sun;-1
Cradle 2 the Grave;-1
Timeline;-1
Swordfish;-1
Mean Machine;-1
The Corruptor;-1
Taxi Driver;1
8MM;-1
Exit Wounds;-1
Fair Game;-1
Running Scared;-1
Last Man Standing;-1
A Man Apart;-1
Conspiracy Theory;-1
Lucky Number Slevin;-1
The Count of Monte Cristo;-1
The Chronicles of Riddick;-1
The Lost City;-1
Summer of Sam;-1
The Big Hit;-1
The Hunted;-1
Action Jackson;-1
Secret Window;-1
Shaft;1
Stone Cold;-1
Red Planet;-1
The Transporter;-1
The Long Kiss Goodnight;-1
K-19: The Widowmaker;-1
Four Brothers;-1
Bad Boys;-1
The Great Raid;-1
eXistenZ;-1
We Were Soldiers;-1
Poseidon;1
Behind Enemy Lines;-1
Windtalkers;-1
Hostage;-1
Maximum Risk;-1
Layer Cake;-1
The Constant Gardener;1
Walk Hard: The Dewey Cox Story;-1
Once Upon A Time In Mexico;-1
The Number 23;-1
The Way of the Gun;-1
Invasion U.S.A.;-1
The Mummy Returns;-1
The Rundown;-1
Desperado;-1
Smokin' Aces;-1
Soldier;-1
Dracula 2000;-1
Bangkok Dangerous;-1
Reign of Fire;-1
The Bank Job;-1
Lethal Weapon 4;-1
The 13th Warrior;-1
Commando;-1
The Running Man;-1
The Last of the Mohicans;1
Collateral;1
Patriot Games;-1
Romeo is Bleeding;-1
The Legend of Zorro;-1
Equilibrium;-1
Mad Max Beyond Thunderdome;-1
Enemy at the Gates;-1
Charlie's Angels: Full Throttle;-1
Major Dundee;-1
The Black Dahlia;1
Out of Sight;1
Red Sonja;-1
RocknRolla;-1
The Alamo;1
Die Hard 2;-1
Kiss Kiss Bang Bang;-1
Charlie Wilson's War;1
The Pianist;1
Jason X;-1
Zoolander;-1
Formula 51;-1
Letters from Iwo Jima;1
Snatch;-1
Disturbia;-1
Troy;1
The Scorpion King;-1
The Devil's Rejects;-1
Sahara;1
Tango & Cash;-1
The Ladykillers;1
Face/Off;1
Eraser;1
Max Payne;-1
The New World;1
Lethal Weapon 3;-1
Hellboy;-1
Rambo III;-1
Hitman;-1
The Bourne Supremacy;-1
A History of Violence;1
Independence Day;1
Underworld: Evolution;-1
Blade;-1
Fool's Gold;-1
Tombstone;-1
The International;-1
Domino;-1
Shooter;-1
Alexander;-1
In Bruges;1
28 Weeks Later;-1
Road House;-1
The Island;-1
True Romance;-1
The Rock;1
The Day After Tomorrow;-1
Slither;-1
The Last Samurai;1
Die Hard: With a Vengeance;-1
Waterworld;1
Creepshow;-1
From Dusk Till Dawn;-1
Starship Troopers;1
UHF;-1
Wild Wild West;-1
Air Force One;1
Dawn of the Dead;-1
Blade: Trinity;-1
30 Days of Night;-1
Master and Commander: The Far Side of the World;1
Jackie Brown;-1
3:10 To Yuma;1
Bad Boys II;-1
Armageddon;1
Blood Diamond;1
House on Haunted Hill;-1
Black Hawk Down;1
Aqua Teen Hunger Force Colon Movie Film for Theaters;-1
True Lies;1
Patton;1
The Boondock Saints;-1
Munich;1
Aliens vs. Predator: Requiem;-1
Last Action Hero;-1
The Hunt for Red October;1
Hero;1
Con Air;1
Shutter Island;-1
The Phantom of the Opera;1
Mission: Impossible;-1
The Mist;1
The Replacement Killers;-1
Taken;-1
Sin City;-1
Total Recall;1
Dune;1
Day of the Dead;-1
The French Connection;1
The Patriot;1
The Messenger: The Story of Joan of Arc;-1
The Departed;1
Escape From New York;-1
Shaun of the Dead;-1
Conan the Barbarian;-1
A Bridge Too Far;-1
Mission: Impossible III;-1
Atonement;1
Speed;1
Platoon;1
The Wild Bunch;1
Pearl Harbor;1
Beowulf;-1
Cabin Fever;-1
TMNT;-1
American Psycho;-1
Unbreakable;-1
Constantine;-1
The Fugitive;1
Ghost Rider;-1
The Spy Who Loved Me;1
Glory;1
Live and Let Die;-1
The Bourne Ultimatum;1
Gangs of New York;1
Hot Fuzz;-1
The Punisher;-1
Octopussy;-1
Jumper;-1
Stardust;-1
Sunshine;-1
Monty Python and the Holy Grail;-1
Predator;1
Big Trouble In Little China;-1
The Expendables;-1
Fear and Loathing in Las Vegas;-1
Kingdom of Heaven;-1
The Prestige;1
Doomsday;-1
Thunderball;1
Galaxy Quest;-1
The Usual Suspects;1
The Silence of the Lambs;1
Zodiac;-1
Brazil;1
Braveheart;1
Snakes on a Plane;-1
Tomorrow Never Dies;-1
Milk;1
Slumdog Millionaire;1
No Country for Old Men;1
A Nightmare on Elm Street;-1
Machete;-1
A Christmas Story;-1
The Mask of Zorro;1
Cloverfield;-1
Children of Men;1
Lawrence of Arabia;1
You Only Live Twice;-1
Reservoir Dogs;-1
Buffalo Soldiers;-1
Memento;1
The Thing;-1
Terminator 3: Rise of the Machines;-1
Zombieland;-1
Wanted;1
There Will Be Blood;1
Resident Evil: Extinction;-1
Superman Returns;1
Indiana Jones and the Temple of Doom;1
Akira;-1
Sleepy Hollow;1
Kung Fu Hustle;-1
Saving Private Ryan;1
Planet of the Apes;1
Hannibal;-1
From Russia With Love;-1
Fight Club;1
American Gangster;1
Get Carter;-1
Iron Man;1
Kick-Ass;-1
Serenity;-1
Ronin;-1
Schindler's List;1
Inglourious Basterds;1
The Fifth Element;1
War of the Worlds;1
Scarface;-1
300;-1
Raiders of the Lost Ark;1
The Matrix;1
Casino Royale;-1
Terminator 2: Judgment Day;1
GoldenEye;-1
Mulan;1
Aliens;1
Watchmen;-1
I Am Legend;-1
Jurassic Park III;-1
Batman Returns;1
King Kong;1
Blade Runner;1
The Chronicles of Narnia: Prince Caspian;-1
For Your Eyes Only;-1
On Her Majesty's Secret Service;-1
Dr. No;-1
The Dark Knight;1
The Incredibles;1
Indiana Jones and the Last Crusade;1
Titanic;1
Pulp Fiction;1
Star Trek: First Contact;1
The Man with the Golden Gun;-1
